gn:id,gp:id_factual,gp:id_blackmad,reason
2805667,708259,12623509,mismatch
2932382,646958,12635088,mismatch
4900048,55829801,55829835,mismatch
3036843,576678,12637400,mismatch
4912980,55830507,55831020,mismatch
8163521,28737271,28737269,mismatch
6949638,12632675,15002797,mismatch
137271,2223861,2254509,mismatch
2518564,759182,759183,mismatch
6358944,20226306,12694099,mismatch
5357144,55814038,23506419,mismatch
4012176,117994,55903044,mismatch
3162439,856885,856884,mismatch
3123344,759560,12690821,mismatch
6155132,29373774,23402801,mismatch
2646460,24080,24081,mismatch
143576,2216864,2216737,mismatch
2843775,12635191,690041,mismatch
3653595,26810243,376155,mismatch
3445667,461523,454592,mismatch
6359182,22661208,12694861,mismatch
209396,1292817,1292819,mismatch
6347869,55821183,55821230,mismatch
1792621,12685373,2127374,mismatch
1791236,12685378,12685377,mismatch
2813308,704351,12623508,mismatch
5168298,55834496,55833916,mismatch
5269478,55831375,55831207,mismatch
3945068,420192,418714,mismatch
3945654,420194,420193,mismatch
5275166,55831511,55832101,mismatch
3468317,456103,56073622,mismatch
2965575,20073775,560228,mismatch
6356723,12694508,754168,mismatch
5281327,55831217,55831205,mismatch
4000353,129194,129193,mismatch
146022,841738,841739,mismatch
3160784,857362,857363,mismatch
1713024,1173105,56121443,mismatch
1713027,1173106,1173102,mismatch
2733521,749407,749405,mismatch
3800700,55915839,55917532,mismatch
2658911,12683893,783973,mismatch
2757838,731834,728261,mismatch
264961,945813,945812,mismatch
4367071,55839607,23507708,mismatch
7286927,785089,12684903,mismatch
1687943,56121372,1200090,mismatch
78137,1958042,1958045,mismatch
715367,815576,815577,mismatch
261088,951472,951475,mismatch
2964959,560562,20071368,mismatch
2964962,560561,20072408,mismatch
4893240,55833081,55830365,mismatch
4916262,55833087,55829849,mismatch
2986070,22527953,617497,mismatch
5281327,55832029,55831205,mismatch
3121985,760992,760993,mismatch
4916686,55830955,55830118,mismatch
2165973,1102468,1095864,mismatch
5345219,55814876,55813616,mismatch
5332455,55814875,55813320,mismatch
5379597,55814873,55813615,mismatch
2933909,646265,12634830,mismatch
2965516,20071585,560261,mismatch
3345355,20093590,13878,mismatch
3206934,20158078,12634259,mismatch
2759879,727182,727151,mismatch
2978564,625463,625461,mismatch
130114,2254741,2232603,mismatch
2965425,20071592,560321,mismatch
5442727,2510611,56448163,mismatch
5026836,23493358,23493359,mismatch
3119172,764463,12694742,mismatch
113074,2251789,2251787,mismatch
133831,2254631,2227990,mismatch
4389418,2417091,2478346,mismatch
1519138,2261871,2261872,mismatch
2646459,20092784,24082,mismatch
2261637,750702,23412878,mismatch
2264123,55868107,746799,mismatch
2734667,747927,747799,mismatch
124298,2254928,2239367,mismatch
3589626,85866,85867,mismatch
2890795,665810,12623402,mismatch
2455545,56123254,56014851,mismatch
3202567,847187,849886,mismatch
7286244,784897,12684763,mismatch
3178671,714112,714111,mismatch
3168990,20149856,721990,mismatch
3060405,819259,29399669,mismatch
8285383,1476727,1476730,mismatch
3518950,55911729,55886890,mismatch
848555,24908456,24913462,mismatch
3123675,12691134,758964,mismatch
2263619,29381228,747680,mismatch
2241669,1469256,1468489,mismatch
3123421,12688030,759438,mismatch
111130,2253921,2253920,mismatch
5400665,55815632,55814544,mismatch
3391553,460533,460534,mismatch
625130,828577,828455,mismatch
3653587,375878,26810244,mismatch
3927420,420588,420351,mismatch
3927739,420583,420455,mismatch
131554,2230596,2254690,mismatch
131554,2230595,2254690,mismatch
3987642,136451,141826,mismatch
3652975,374155,26810297,mismatch
4914756,55823419,55829845,mismatch
4160999,55841700,55842092,mismatch
2895898,12636602,663601,mismatch
135300,2226343,2226344,mismatch
135300,2226345,2226344,mismatch
2667560,908015,908014,mismatch
5119543,55836318,23494538,mismatch
3523240,133573,133571,mismatch
724503,820168,29399769,mismatch
